"Step","infer-bee640 - psnr","infer-bee640 - psnr__MIN","infer-bee640 - psnr__MAX"
"0","39.23766666666667","39.23766666666667","39.23766666666667"
"1","40.54","40.54","40.54"
"2","40.54","40.54","40.54"
"3","40.54","40.54","40.54"
"4","40.54","40.54","40.54"
"5","40.54","40.54","40.54"
"6","40.54","40.54","40.54"
"7","40.54","40.54","40.54"
"8","42.4","42.4","42.4"
"9","43.63999999999999","43.63999999999999","43.63999999999999"
"10","43.63999999999999","43.63999999999999","43.63999999999999"
"11","43.63999999999999","43.63999999999999","43.63999999999999"
"12","43.63999999999999","43.63999999999999","43.63999999999999"
"13","43.63999999999999","43.63999999999999","43.63999999999999"
"14","43.63999999999999","43.63999999999999","43.63999999999999"
"15","43.63999999999999","43.63999999999999","43.63999999999999"
"16","43.63999999999999","43.63999999999999","43.63999999999999"
"17","43.63999999999999","43.63999999999999","43.63999999999999"
"18","43.63999999999999","43.63999999999999","43.63999999999999"
"19","43.63999999999999","43.63999999999999","43.63999999999999"
