"Step","lr-constant-infer-jockey640-400e - psnr","lr-constant-infer-jockey640-400e - psnr__MIN","lr-constant-infer-jockey640-400e - psnr__MAX"
"0","36.19133333333333","36.19133333333333","36.19133333333333"
"1","37.005","37.005","37.005"
"2","37.005","37.005","37.005"
"3","37.005","37.005","37.005"
"4","37.005","37.005","37.005"
"5","37.005","37.005","37.005"
"6","37.005","37.005","37.005"
"7","37.005","37.005","37.005"
"8","41.62300000000002","41.62300000000002","41.62300000000002"
"9","44.701666666666675","44.701666666666675","44.701666666666675"
"10","44.701666666666675","44.701666666666675","44.701666666666675"
"11","44.701666666666675","44.701666666666675","44.701666666666675"
"12","44.701666666666675","44.701666666666675","44.701666666666675"
"13","44.701666666666675","44.701666666666675","44.701666666666675"
"14","44.701666666666675","44.701666666666675","44.701666666666675"
"15","44.701666666666675","44.701666666666675","44.701666666666675"
"16","44.701666666666675","44.701666666666675","44.701666666666675"
"17","44.701666666666675","44.701666666666675","44.701666666666675"
"18","44.701666666666675","44.701666666666675","44.701666666666675"
"19","44.701666666666675","44.701666666666675","44.701666666666675"
