"Step","lr-cosine-infer-yach640-400e - psnr","lr-cosine-infer-yach640-400e - psnr__MIN","lr-cosine-infer-yach640-400e - psnr__MAX"
"0","40.775333333333336","40.775333333333336","40.775333333333336"
"1","41.980000000000004","41.980000000000004","41.980000000000004"
"2","41.980000000000004","41.980000000000004","41.980000000000004"
"3","41.980000000000004","41.980000000000004","41.980000000000004"
"4","41.980000000000004","41.980000000000004","41.980000000000004"
"5","41.980000000000004","41.980000000000004","41.980000000000004"
"6","41.980000000000004","41.980000000000004","41.980000000000004"
"7","41.980000000000004","41.980000000000004","41.980000000000004"
"8","42.109","42.109","42.109"
"9","42.195","42.195","42.195"
"10","42.195","42.195","42.195"
"11","42.195","42.195","42.195"
"12","42.195","42.195","42.195"
"13","42.195","42.195","42.195"
"14","42.195","42.195","42.195"
"15","42.195","42.195","42.195"
"16","42.195","42.195","42.195"
"17","42.195","42.195","42.195"
"18","42.195","42.195","42.195"
"19","42.195","42.195","42.195"
